ExpenseID,Date,Month,Year,Month-Year,CategoryID,CategoryName,CategoryType,ItemName,UnitPrice,Quantity,TotalAmount,NationalCPIValue
30,2024-05-02,May,2024,May-2024,1,Groceries,Essential,Whole Milk,5.09,5,25.45,312.06
31,2026-04-23,April,2026,Apr-2026,2,Utilities,Essential,Water Bill,132.16,1,132.16,330.81
32,2025-08-27,August,2025,Aug-2025,4,Dining Out,Discretionary,Cocktail Bar,36.56,5,182.8,324.47
33,2026-01-11,January,2026,Jan-2026,3,Rent,Essential,Monthly Rent Payment,1905.09,1,1905.09,328.09
34,2023-03-04,March,2023,Mar-2023,5,Electronics,Discretionary,Smartphone,236.25,1,236.25,301.51
35,2025-07-08,July,2025,Jul-2025,4,Dining Out,Discretionary,Cocktail Bar,41.94,1,41.94,323.16
36,2024-08-16,August,2024,Aug-2024,3,Rent,Essential,Monthly Rent Payment,1787.07,1,1787.07,314.75
37,2024-08-12,August,2024,Aug-2024,4,Dining Out,Discretionary,Cocktail Bar,33.38,5,166.9,314.65
38,2023-08-22,August,2023,Aug-2023,5,Electronics,Discretionary,Headphones,266.62,1,266.62,305.71
39,2024-06-23,June,2024,Jun-2024,5,Electronics,Discretionary,Smartphone,246.34,1,246.34,313.38
40,2023-09-15,September,2023,Sep-2023,1,Groceries,Essential,Whole Milk,5.3,4,21.2,306.3
41,2024-06-26,June,2024,Jun-2024,4,Dining Out,Discretionary,Cocktail Bar,35.9,3,107.7,313.45
42,2025-04-20,April,2025,Apr-2025,2,Utilities,Essential,Internet Fiber,118.62,1,118.62,321.1
43,2025-05-31,May,2025,May-2025,5,Electronics,Discretionary,Headphones,245.04,1,245.04,322.17
44,2024-03-12,March,2024,Mar-2024,3,Rent,Essential,Monthly Rent Payment,1685,1,1685,310.77
45,2025-05-06,May,2025,May-2025,1,Groceries,Essential,Whole Milk,5.39,1,5.39,321.52
46,2025-03-10,March,2025,Mar-2025,1,Groceries,Essential,Avocados,5.8,4,23.2,320.04
47,2025-05-23,May,2025,May-2025,5,Electronics,Discretionary,Gaming Console,245.99,1,245.99,321.96
48,2025-02-13,February,2025,Feb-2025,2,Utilities,Essential,Internet Fiber,129.23,1,129.23,319.39
49,2024-03-22,March,2024,Mar-2024,2,Utilities,Essential,Internet Fiber,124.66,1,124.66,311.03
50,2026-05-17,May,2026,May-2026,4,Dining Out,Discretionary,Coffee Shop,45.12,2,90.24,331.45
51,2024-05-27,May,2024,May-2024,3,Rent,Essential,Monthly Rent Payment,1740.41,1,1740.41,312.69
52,2024-07-27,July,2024,Jul-2024,2,Utilities,Essential,Electric Bill,106.72,1,106.72,314.24
53,2023-07-24,July,2023,Jul-2023,5,Electronics,Discretionary,Headphones,242.6,1,242.6,304.99
54,2025-07-24,July,2025,Jul-2025,4,Dining Out,Discretionary,Pizza Night,36.25,2,72.5,323.58
55,2024-11-30,November,2024,Nov-2024,3,Rent,Essential,Monthly Rent Payment,1583.98,1,1583.98,317.46
56,2023-09-16,September,2023,Sep-2023,4,Dining Out,Discretionary,Sushi Lunch,32.55,3,97.65,306.33
57,2026-04-25,April,2026,Apr-2026,4,Dining Out,Discretionary,Cocktail Bar,45.38,4,181.52,330.86
58,2023-04-27,April,2023,Apr-2023,5,Electronics,Discretionary,Smartphone,253.7,1,253.7,302.83
59,2025-01-02,January,2025,Jan-2025,4,Dining Out,Discretionary,Cocktail Bar,34.93,1,34.93,318.31
60,2025-07-24,July,2025,Jul-2025,3,Rent,Essential,Monthly Rent Payment,1886.53,1,1886.53,323.58
61,2026-04-24,April,2026,Apr-2026,4,Dining Out,Discretionary,Cocktail Bar,46.07,3,138.21,330.84
62,2026-03-22,March,2026,Mar-2026,4,Dining Out,Discretionary,Cocktail Bar,39.42,3,118.26,329.95
63,2025-07-29,July,2025,Jul-2025,4,Dining Out,Discretionary,Pizza Night,42.89,3,128.67,323.71
64,2024-11-07,November,2024,Nov-2024,3,Rent,Essential,Monthly Rent Payment,1630.22,1,1630.22,316.87
65,2023-03-02,March,2023,Mar-2023,5,Electronics,Discretionary,Gaming Console,234.34,1,234.34,301.46
66,2024-06-05,June,2024,Jun-2024,2,Utilities,Essential,Electric Bill,114.92,1,114.92,312.92
67,2025-03-09,March,2025,Mar-2025,5,Electronics,Discretionary,Headphones,231.09,1,231.09,320.01
68,2024-08-24,August,2024,Aug-2024,4,Dining Out,Discretionary,Coffee Shop,39.29,2,78.58,314.95
69,2024-11-14,November,2024,Nov-2024,2,Utilities,Essential,Electric Bill,116.09,1,116.09,317.05
70,2023-12-29,December,2023,Dec-2023,3,Rent,Essential,Monthly Rent Payment,1713.13,1,1713.13,308.92
71,2023-06-01,June,2023,Jun-2023,1,Groceries,Essential,Chicken Breast,5.64,2,11.28,303.69
72,2025-08-04,August,2025,Aug-2025,3,Rent,Essential,Monthly Rent Payment,1933.95,1,1933.95,323.87
73,2025-09-15,September,2025,Sep-2025,2,Utilities,Essential,Water Bill,132.83,1,132.83,324.97
74,2025-02-24,February,2025,Feb-2025,4,Dining Out,Discretionary,Coffee Shop,35.46,4,141.84,319.68
75,2024-06-23,June,2024,Jun-2024,4,Dining Out,Discretionary,Sushi Lunch,36.05,3,108.15,313.38
76,2024-04-30,April,2024,Apr-2024,5,Electronics,Discretionary,Smartphone,261.68,1,261.68,312.01
77,2024-08-05,August,2024,Aug-2024,4,Dining Out,Discretionary,Sushi Lunch,34.07,5,170.35,314.47
78,2023-10-04,October,2023,Oct-2023,1,Groceries,Essential,Chicken Breast,4.9,3,14.7,306.78
79,2023-12-07,December,2023,Dec-2023,4,Dining Out,Discretionary,Cocktail Bar,33.09,2,66.18,308.37
80,2023-11-19,November,2023,Nov-2023,5,Electronics,Discretionary,Smartphone,227.36,1,227.36,307.92
81,2025-11-08,November,2025,Nov-2025,1,Groceries,Essential,Whole Milk,5.73,3,17.19,326.4
82,2023-03-03,March,2023,Mar-2023,5,Electronics,Discretionary,Smartphone,242.33,1,242.33,301.48
83,2023-04-05,April,2023,Apr-2023,1,Groceries,Essential,Whole Milk,4.88,5,24.4,302.29
84,2024-10-08,October,2024,Oct-2024,5,Electronics,Discretionary,Headphones,264.79,1,264.79,316.1
85,2023-08-14,August,2023,Aug-2023,2,Utilities,Essential,Water Bill,105.98,1,105.98,305.51
86,2024-04-15,April,2024,Apr-2024,5,Electronics,Discretionary,Smartphone,232.29,1,232.29,311.63
87,2023-07-25,July,2023,Jul-2023,3,Rent,Essential,Monthly Rent Payment,1765.98,1,1765.98,305.02
88,2025-06-28,June,2025,Jun-2025,2,Utilities,Essential,Water Bill,128.75,1,128.75,322.9
89,2024-07-20,July,2024,Jul-2024,3,Rent,Essential,Monthly Rent Payment,1587.78,1,1587.78,314.06
90,2025-01-28,January,2025,Jan-2025,5,Electronics,Discretionary,Gaming Console,230.67,1,230.67,318.98
91,2024-02-25,February,2024,Feb-2024,4,Dining Out,Discretionary,Sushi Lunch,31.53,5,157.65,310.37
92,2023-03-17,March,2023,Mar-2023,3,Rent,Essential,Monthly Rent Payment,1525.83,1,1525.83,301.83
93,2023-12-02,December,2023,Dec-2023,1,Groceries,Essential,Whole Milk,5.25,5,26.25,308.24
94,2026-01-30,January,2026,Jan-2026,1,Groceries,Essential,Whole Milk,5.71,2,11.42,328.6
95,2025-07-05,July,2025,Jul-2025,5,Electronics,Discretionary,Gaming Console,251.45,1,251.45,323.08
96,2023-12-30,December,2023,Dec-2023,5,Electronics,Discretionary,Headphones,233.07,1,233.07,308.94
97,2024-10-06,October,2024,Oct-2024,1,Groceries,Essential,Avocados,5.9,5,29.5,316.05
98,2025-08-04,August,2025,Aug-2025,1,Groceries,Essential,Chicken Breast,6.39,1,6.39,323.87
99,2024-07-15,July,2024,Jul-2024,4,Dining Out,Discretionary,Sushi Lunch,37.61,5,188.05,313.93
100,2023-03-30,March,2023,Mar-2023,2,Utilities,Essential,Electric Bill,100.39,1,100.39,302.14
101,2023-09-30,September,2023,Sep-2023,3,Rent,Essential,Monthly Rent Payment,1555.19,1,1555.19,306.68
102,2023-06-12,June,2023,Jun-2023,1,Groceries,Essential,Whole Milk,4.97,1,4.97,303.96
103,2024-09-14,September,2024,Sep-2024,4,Dining Out,Discretionary,Coffee Shop,37.66,5,188.3,315.49
104,2024-08-10,August,2024,Aug-2024,2,Utilities,Essential,Water Bill,124.62,1,124.62,314.6
105,2024-07-11,July,2024,Jul-2024,1,Groceries,Essential,Chicken Breast,5.88,1,5.88,313.83
106,2024-05-19,May,2024,May-2024,3,Rent,Essential,Monthly Rent Payment,1857.4,1,1857.4,312.49
107,2024-12-04,December,2024,Dec-2024,3,Rent,Essential,Monthly Rent Payment,1862.58,1,1862.58,317.56
108,2024-06-28,June,2024,Jun-2024,4,Dining Out,Discretionary,Pizza Night,33.38,3,100.14,313.5
109,2023-03-27,March,2023,Mar-2023,2,Utilities,Essential,Water Bill,122.08,1,122.08,302.07
110,2023-02-08,February,2023,Feb-2023,2,Utilities,Essential,Internet Fiber,115.36,1,115.36,300.92
111,2025-03-23,March,2025,Mar-2025,4,Dining Out,Discretionary,Coffee Shop,37.32,4,149.28,320.38
112,2024-06-22,June,2024,Jun-2024,2,Utilities,Essential,Electric Bill,126.62,1,126.62,313.35
113,2023-06-23,June,2023,Jun-2023,2,Utilities,Essential,Internet Fiber,112.86,1,112.86,304.23
114,2026-04-13,April,2026,Apr-2026,5,Electronics,Discretionary,Headphones,235.89,1,235.89,330.54
115,2025-12-03,December,2025,Dec-2025,2,Utilities,Essential,Internet Fiber,115.21,1,115.21,327.06
116,2024-10-10,October,2024,Oct-2024,1,Groceries,Essential,Avocados,5.23,5,26.15,316.15
117,2024-09-11,September,2024,Sep-2024,3,Rent,Essential,Monthly Rent Payment,1618.1,1,1618.1,315.41
118,2025-04-19,April,2025,Apr-2025,5,Electronics,Discretionary,Gaming Console,231.25,1,231.25,321.08
119,2026-02-28,February,2026,Feb-2026,1,Groceries,Essential,Whole Milk,6.97,5,34.85,329.37
120,2023-11-02,November,2023,Nov-2023,5,Electronics,Discretionary,Smartphone,247.04,1,247.04,307.5
121,2024-02-03,February,2024,Feb-2024,5,Electronics,Discretionary,Gaming Console,268.97,1,268.97,309.82
122,2024-09-23,September,2024,Sep-2024,2,Utilities,Essential,Water Bill,108.71,1,108.71,315.72
123,2024-05-17,May,2024,May-2024,4,Dining Out,Discretionary,Pizza Night,34.9,3,104.7,312.44
124,2023-06-15,June,2023,Jun-2023,2,Utilities,Essential,Electric Bill,108.46,1,108.46,304.03
125,2025-05-03,May,2025,May-2025,4,Dining Out,Discretionary,Pizza Night,41.16,2,82.32,321.44
126,2025-05-12,May,2025,May-2025,5,Electronics,Discretionary,Headphones,241.37,1,241.37,321.68
127,2025-06-05,June,2025,Jun-2025,3,Rent,Essential,Monthly Rent Payment,1704.71,1,1704.71,322.3
128,2025-06-05,June,2025,Jun-2025,3,Rent,Essential,Monthly Rent Payment,1900.51,1,1900.51,322.3
129,2026-03-14,March,2026,Mar-2026,1,Groceries,Essential,Chicken Breast,6.27,4,25.08,329.74
130,2025-02-08,February,2025,Feb-2025,3,Rent,Essential,Monthly Rent Payment,1890.53,1,1890.53,319.26
131,2024-08-16,August,2024,Aug-2024,1,Groceries,Essential,Whole Milk,5.17,1,5.17,314.75
132,2026-01-27,January,2026,Jan-2026,3,Rent,Essential,Monthly Rent Payment,1713.15,1,1713.15,328.52
133,2024-06-25,June,2024,Jun-2024,5,Electronics,Discretionary,Gaming Console,257.18,1,257.18,313.43
134,2025-07-21,July,2025,Jul-2025,4,Dining Out,Discretionary,Sushi Lunch,36.74,1,36.74,323.5
135,2023-05-26,May,2023,May-2023,3,Rent,Essential,Monthly Rent Payment,1754.05,1,1754.05,303.54
136,2024-10-04,October,2024,Oct-2024,3,Rent,Essential,Monthly Rent Payment,1816.93,1,1816.93,316
137,2024-08-06,August,2024,Aug-2024,4,Dining Out,Discretionary,Pizza Night,37.19,1,37.19,314.49
138,2025-05-03,May,2025,May-2025,1,Groceries,Essential,Whole Milk,6.43,5,32.15,321.44
139,2024-04-17,April,2024,Apr-2024,5,Electronics,Discretionary,Smartphone,233.3,1,233.3,311.68
140,2025-04-03,April,2025,Apr-2025,5,Electronics,Discretionary,Gaming Console,254.17,1,254.17,320.66
141,2026-01-01,January,2026,Jan-2026,4,Dining Out,Discretionary,Pizza Night,43.67,4,174.68,327.82
142,2024-12-24,December,2024,Dec-2024,3,Rent,Essential,Monthly Rent Payment,1885.69,1,1885.69,318.08
143,2023-03-17,March,2023,Mar-2023,5,Electronics,Discretionary,Smartphone,251.34,1,251.34,301.83
144,2023-02-25,February,2023,Feb-2023,3,Rent,Essential,Monthly Rent Payment,1655.31,1,1655.31,301.34
145,2024-09-27,September,2024,Sep-2024,4,Dining Out,Discretionary,Pizza Night,38.45,4,153.8,315.82
146,2023-06-01,June,2023,Jun-2023,5,Electronics,Discretionary,Headphones,247.08,1,247.08,303.69
147,2023-12-08,December,2023,Dec-2023,2,Utilities,Essential,Internet Fiber,121.67,1,121.67,308.39
148,2023-02-22,February,2023,Feb-2023,2,Utilities,Essential,Internet Fiber,119.2,1,119.2,301.27
149,2023-04-03,April,2023,Apr-2023,4,Dining Out,Discretionary,Cocktail Bar,29.75,3,89.25,302.24
150,2024-04-13,April,2024,Apr-2024,1,Groceries,Essential,Whole Milk,5.46,2,10.92,311.58
151,2025-10-04,October,2025,Oct-2025,1,Groceries,Essential,Whole Milk,6.16,5,30.8,325.47
152,2026-02-16,February,2026,Feb-2026,2,Utilities,Essential,Water Bill,119.24,1,119.24,329.05
153,2024-02-29,February,2024,Feb-2024,5,Electronics,Discretionary,Headphones,251.39,1,251.39,310.47
154,2024-06-24,June,2024,Jun-2024,4,Dining Out,Discretionary,Coffee Shop,32.93,1,32.93,313.4
155,2024-12-25,December,2024,Dec-2024,2,Utilities,Essential,Water Bill,129.64,1,129.64,318.1
156,2024-09-24,September,2024,Sep-2024,2,Utilities,Essential,Water Bill,115.01,1,115.01,315.74
157,2025-07-04,July,2025,Jul-2025,5,Electronics,Discretionary,Headphones,247.98,1,247.98,323.06
158,2023-03-04,March,2023,Mar-2023,3,Rent,Essential,Monthly Rent Payment,1534.29,1,1534.29,301.51
159,2026-01-24,January,2026,Jan-2026,2,Utilities,Essential,Electric Bill,120.2,1,120.2,328.44
160,2024-09-13,September,2024,Sep-2024,1,Groceries,Essential,Eggs 12pk,5.32,4,21.28,315.46
161,2026-04-27,April,2026,Apr-2026,4,Dining Out,Discretionary,Sushi Lunch,45.98,1,45.98,330.92
162,2024-12-16,December,2024,Dec-2024,1,Groceries,Essential,Sourdough,5.26,4,21.04,317.87
163,2024-09-08,September,2024,Sep-2024,4,Dining Out,Discretionary,Cocktail Bar,33.7,1,33.7,315.33
164,2025-03-14,March,2025,Mar-2025,3,Rent,Essential,Monthly Rent Payment,1772.8,1,1772.8,320.14
165,2023-03-24,March,2023,Mar-2023,5,Electronics,Discretionary,Headphones,256.19,1,256.19,302
166,2024-02-28,February,2024,Feb-2024,1,Groceries,Essential,Eggs 12pk,5.73,5,28.65,310.45
167,2023-09-23,September,2023,Sep-2023,3,Rent,Essential,Monthly Rent Payment,1742.16,1,1742.16,306.5
168,2026-04-24,April,2026,Apr-2026,4,Dining Out,Discretionary,Coffee Shop,41.77,4,167.08,330.84
169,2025-01-18,January,2025,Jan-2025,1,Groceries,Essential,Eggs 12pk,6.27,5,31.35,318.72
170,2024-01-24,January,2024,Jan-2024,3,Rent,Essential,Monthly Rent Payment,1793.68,1,1793.68,309.57
171,2023-02-13,February,2023,Feb-2023,4,Dining Out,Discretionary,Cocktail Bar,30.61,1,30.61,301.05
172,2025-12-21,December,2025,Dec-2025,5,Electronics,Discretionary,Smartphone,263.91,1,263.91,327.53
173,2025-03-18,March,2025,Mar-2025,3,Rent,Essential,Monthly Rent Payment,1637.56,1,1637.56,320.25
174,2025-10-23,October,2025,Oct-2025,4,Dining Out,Discretionary,Pizza Night,41.81,2,83.62,325.97
175,2023-01-09,January,2023,Jan-2023,4,Dining Out,Discretionary,Sushi Lunch,31.77,1,31.77,300.19
176,2025-01-24,January,2025,Jan-2025,4,Dining Out,Discretionary,Sushi Lunch,38.65,1,38.65,318.88
177,2023-04-17,April,2023,Apr-2023,1,Groceries,Essential,Eggs 12pk,5.16,4,20.64,302.58
178,2026-01-12,January,2026,Jan-2026,4,Dining Out,Discretionary,Sushi Lunch,40.17,1,40.17,328.12
179,2024-02-18,February,2024,Feb-2024,1,Groceries,Essential,Chicken Breast,5.18,1,5.18,310.2
180,2024-05-10,May,2024,May-2024,5,Electronics,Discretionary,Headphones,228.22,1,228.22,312.26
181,2023-11-20,November,2023,Nov-2023,4,Dining Out,Discretionary,Cocktail Bar,34.66,1,34.66,307.95
182,2024-03-07,March,2024,Mar-2024,2,Utilities,Essential,Internet Fiber,106.34,1,106.34,310.65
183,2024-09-17,September,2024,Sep-2024,2,Utilities,Essential,Internet Fiber,109.98,1,109.98,315.56
184,2024-08-15,August,2024,Aug-2024,5,Electronics,Discretionary,Gaming Console,256.44,1,256.44,314.72
185,2024-12-06,December,2024,Dec-2024,2,Utilities,Essential,Internet Fiber,111.25,1,111.25,317.61
186,2023-12-10,December,2023,Dec-2023,3,Rent,Essential,Monthly Rent Payment,1680.53,1,1680.53,308.44
187,2026-05-10,May,2026,May-2026,1,Groceries,Essential,Whole Milk,7.11,4,28.44,331.27
188,2023-01-29,January,2023,Jan-2023,5,Electronics,Discretionary,Headphones,231.39,1,231.39,300.68
189,2026-05-30,May,2026,May-2026,1,Groceries,Essential,Eggs 12pk,5.87,3,17.61,331.8
190,2024-12-21,December,2024,Dec-2024,3,Rent,Essential,Monthly Rent Payment,1802.58,1,1802.58,318
191,2023-10-15,October,2023,Oct-2023,2,Utilities,Essential,Internet Fiber,105.42,1,105.42,307.05
192,2025-05-11,May,2025,May-2025,4,Dining Out,Discretionary,Sushi Lunch,38.4,3,115.2,321.65
193,2025-11-25,November,2025,Nov-2025,1,Groceries,Essential,Whole Milk,6.05,4,24.2,326.84
194,2025-05-02,May,2025,May-2025,5,Electronics,Discretionary,Gaming Console,263.14,1,263.14,321.41
195,2026-02-08,February,2026,Feb-2026,4,Dining Out,Discretionary,Sushi Lunch,42.16,2,84.32,328.83
196,2025-10-31,October,2025,Oct-2025,3,Rent,Essential,Monthly Rent Payment,2012.67,1,2012.67,326.18
197,2023-04-25,April,2023,Apr-2023,5,Electronics,Discretionary,Headphones,253.92,1,253.92,302.78
198,2023-03-27,March,2023,Mar-2023,2,Utilities,Essential,Internet Fiber,102.62,1,102.62,302.07
199,2023-10-11,October,2023,Oct-2023,2,Utilities,Essential,Electric Bill,108.23,1,108.23,306.95
200,2025-09-22,September,2025,Sep-2025,4,Dining Out,Discretionary,Cocktail Bar,38.24,1,38.24,325.16
201,2025-08-05,August,2025,Aug-2025,1,Groceries,Essential,Chicken Breast,6.55,5,32.75,323.9
202,2024-11-26,November,2024,Nov-2024,1,Groceries,Essential,Eggs 12pk,5.83,1,5.83,317.36
203,2023-05-11,May,2023,May-2023,1,Groceries,Essential,Avocados,5.2,1,5.2,303.17
204,2026-04-13,April,2026,Apr-2026,5,Electronics,Discretionary,Smartphone,242.95,1,242.95,330.54
205,2023-04-05,April,2023,Apr-2023,3,Rent,Essential,Monthly Rent Payment,1758.92,1,1758.92,302.29
206,2023-12-20,December,2023,Dec-2023,2,Utilities,Essential,Internet Fiber,121.06,1,121.06,308.69
207,2024-07-20,July,2024,Jul-2024,3,Rent,Essential,Monthly Rent Payment,1634.37,1,1634.37,314.06
208,2024-11-14,November,2024,Nov-2024,2,Utilities,Essential,Electric Bill,116.59,1,116.59,317.05
209,2023-01-23,January,2023,Jan-2023,2,Utilities,Essential,Electric Bill,116.84,1,116.84,300.53
210,2023-09-03,September,2023,Sep-2023,1,Groceries,Essential,Whole Milk,5.1,1,5.1,306.01
211,2024-12-16,December,2024,Dec-2024,1,Groceries,Essential,Eggs 12pk,5.82,3,17.46,317.87
212,2023-04-24,April,2023,Apr-2023,2,Utilities,Essential,Internet Fiber,110.72,1,110.72,302.76
213,2024-09-16,September,2024,Sep-2024,1,Groceries,Essential,Eggs 12pk,5.7,3,17.1,315.54
214,2025-11-22,November,2025,Nov-2025,1,Groceries,Essential,Eggs 12pk,5.98,1,5.98,326.77
215,2025-07-19,July,2025,Jul-2025,3,Rent,Essential,Monthly Rent Payment,1632.84,1,1632.84,323.45
216,2026-05-23,May,2026,May-2026,1,Groceries,Essential,Eggs 12pk,6.51,4,26.04,331.61
217,2023-07-04,July,2023,Jul-2023,2,Utilities,Essential,Electric Bill,108.44,1,108.44,304.5
218,2025-10-11,October,2025,Oct-2025,5,Electronics,Discretionary,Smartphone,257.69,1,257.69,325.66
219,2023-11-02,November,2023,Nov-2023,5,Electronics,Discretionary,Headphones,272.09,1,272.09,307.5
220,2024-01-16,January,2024,Jan-2024,5,Electronics,Discretionary,Smartphone,237.32,1,237.32,309.37
221,2026-01-18,January,2026,Jan-2026,1,Groceries,Essential,Whole Milk,6.37,2,12.74,328.28
222,2025-10-07,October,2025,Oct-2025,1,Groceries,Essential,Avocados,6.67,5,33.35,325.55
223,2024-05-15,May,2024,May-2024,1,Groceries,Essential,Chicken Breast,5.77,5,28.85,312.39
224,2024-08-17,August,2024,Aug-2024,1,Groceries,Essential,Sourdough,5.16,5,25.8,314.77
225,2024-01-19,January,2024,Jan-2024,2,Utilities,Essential,Electric Bill,112.24,1,112.24,309.44
226,2023-12-18,December,2023,Dec-2023,4,Dining Out,Discretionary,Coffee Shop,33.86,1,33.86,308.64
227,2025-06-27,June,2025,Jun-2025,3,Rent,Essential,Monthly Rent Payment,1709.22,1,1709.22,322.87
228,2025-09-08,September,2025,Sep-2025,1,Groceries,Essential,Chicken Breast,5.76,4,23.04,324.79
229,2023-10-11,October,2023,Oct-2023,1,Groceries,Essential,Whole Milk,4.86,3,14.58,306.95
230,2025-05-25,May,2025,May-2025,1,Groceries,Essential,Chicken Breast,6.36,3,19.08,322.01
231,2025-01-02,January,2025,Jan-2025,2,Utilities,Essential,Water Bill,119.01,1,119.01,318.31
232,2023-02-12,February,2023,Feb-2023,4,Dining Out,Discretionary,Pizza Night,30.01,3,90.03,301.02
233,2025-04-23,April,2025,Apr-2025,4,Dining Out,Discretionary,Coffee Shop,40.28,1,40.28,321.18
234,2026-01-07,January,2026,Jan-2026,5,Electronics,Discretionary,Gaming Console,219.36,1,219.36,327.98
235,2025-07-03,July,2025,Jul-2025,4,Dining Out,Discretionary,Pizza Night,41.73,4,166.92,323.03
236,2024-06-27,June,2024,Jun-2024,5,Electronics,Discretionary,Headphones,234.57,1,234.57,313.48
237,2026-03-11,March,2026,Mar-2026,4,Dining Out,Discretionary,Sushi Lunch,45.57,1,45.57,329.66
238,2024-03-08,March,2024,Mar-2024,1,Groceries,Essential,Avocados,5.39,4,21.56,310.67
239,2023-09-01,September,2023,Sep-2023,5,Electronics,Discretionary,Headphones,258.52,1,258.52,305.96
240,2026-03-29,March,2026,Mar-2026,3,Rent,Essential,Monthly Rent Payment,1815.83,1,1815.83,330.14
241,2024-10-31,October,2024,Oct-2024,1,Groceries,Essential,Eggs 12pk,5.51,2,11.02,316.69
242,2025-04-01,April,2025,Apr-2025,5,Electronics,Discretionary,Smartphone,222.63,1,222.63,320.61
243,2025-05-05,May,2025,May-2025,5,Electronics,Discretionary,Gaming Console,222.45,1,222.45,321.49
244,2024-01-11,January,2024,Jan-2024,2,Utilities,Essential,Electric Bill,110.19,1,110.19,309.24
245,2025-07-24,July,2025,Jul-2025,3,Rent,Essential,Monthly Rent Payment,1911.64,1,1911.64,323.58
246,2025-09-25,September,2025,Sep-2025,1,Groceries,Essential,Eggs 12pk,6.61,4,26.44,325.24
247,2025-05-16,May,2025,May-2025,4,Dining Out,Discretionary,Coffee Shop,43.15,2,86.3,321.78
248,2024-09-22,September,2024,Sep-2024,3,Rent,Essential,Monthly Rent Payment,1594.61,1,1594.61,315.69
249,2025-08-28,August,2025,Aug-2025,2,Utilities,Essential,Water Bill,132.16,1,132.16,324.5
250,2026-03-29,March,2026,Mar-2026,2,Utilities,Essential,Electric Bill,121.7,1,121.7,330.14
251,2023-09-17,September,2023,Sep-2023,2,Utilities,Essential,Internet Fiber,102.54,1,102.54,306.35
252,2024-11-27,November,2024,Nov-2024,5,Electronics,Discretionary,Smartphone,230.54,1,230.54,317.38
